tx_id,paid_at,merchant,category,amount,method,note
TX0331,2026-08-10 09:01:08,滴滴出行,交通,22.57,支付宝,
TX0332,2026-08-10 13:14:02,天猫超市,购物,229.89,支付宝,
TX0333,2026-08-10 13:35:32,麦当劳,餐饮,49.40,支付宝,
TX0334,2026-08-10 19:53:09,Steam,娱乐,80.25,支付宝,
TX0335,2026-08-11 09:20:45,肯德基,餐饮,51.18,银行卡,同事聚餐
TX0336,2026-08-11 22:14:32,美团外卖,餐饮,29.76,银行卡,加班夜宵
TX0337,2026-08-12 08:52:26,瑞幸咖啡,餐饮,28.85,银行卡,
TX0338,2026-08-12 17:31:47,肯德基,餐饮,41.72,银行卡,
TX0339,2026-08-12 19:05:36,公交集团,交通,25.57,微信支付,顺路加油
TX0340,2026-08-13 09:54:33,中国石化,交通,36.66,支付宝,打车赶时间
TX0341,2026-08-13 11:31:41,中国石化,交通,29.37,银行卡,通勤地铁
TX0342,2026-08-14 18:47:13,麦当劳,餐饮,37.58,银行卡,同事聚餐
TX0343,2026-08-14 18:57:07,美团外卖,餐饮,15.85,支付宝,同事聚餐
TX0344,2026-08-14 19:33:46,淘宝,购物,87.06,银行卡,数码小配件
TX0345,2026-08-15 10:16:15,公交集团,交通,28.65,微信支付,顺路加油
TX0346,2026-08-15 12:21:11,12306,交通,41.75,支付宝,
TX0347,2026-08-15 16:47:43,瑞幸咖啡,餐饮,32.09,支付宝,加班夜宵
TX0348,2026-08-15 19:01:13,天猫超市,购物,68.37,银行卡,数码小配件
TX0349,2026-08-15 20:10:55,喜茶,餐饮,45.63,银行卡,加班夜宵
TX0350,2026-08-16 09:20:06,中国石化,交通,35.41,微信支付,打车赶时间
TX0351,2026-08-16 11:54:45,饿了么,餐饮,30.59,支付宝,
TX0352,2026-08-16 15:10:13,美团外卖,餐饮,52.26,支付宝,
TX0353,2026-08-17 08:42:43,地铁通勤,交通,8.19,银行卡,打车赶时间
TX0354,2026-08-17 16:03:14,地铁通勤,交通,9.94,支付宝,顺路加油
TX0355,2026-08-18 07:09:19,盒马鲜生,购物,132.13,支付宝,数码小配件
TX0356,2026-08-18 13:46:50,猫眼演出,娱乐,38.63,银行卡,乐队演出门票
TX0357,2026-08-18 18:01:03,饿了么,餐饮,44.35,微信支付,
TX0358,2026-08-18 21:30:59,淘宝,购物,49.26,微信支付,日用品补货
TX0359,2026-08-18 22:01:56,12306,交通,25.67,微信支付,顺路加油
TX0360,2026-08-19 08:28:25,滴滴出行,交通,14.84,微信支付,
TX0361,2026-08-19 10:17:11,中国石化,交通,39.68,支付宝,
TX0362,2026-08-19 10:17:51,饿了么,餐饮,29.88,银行卡,同事聚餐
TX0363,2026-08-19 16:16:33,猫眼演出,娱乐,108.93,微信支付,
TX0364,2026-08-19 19:15:11,滴滴出行,交通,35.25,支付宝,
TX0365,2026-08-20 07:06:16,猫眼演出,娱乐,43.55,支付宝,乐队演出门票
TX0366,2026-08-20 18:23:07,麦当劳,餐饮,28.81,支付宝,
TX0367,2026-08-20 19:20:36,饿了么,餐饮,26.77,支付宝,
TX0368,2026-08-20 22:16:56,公交集团,交通,33.54,银行卡,顺路加油
TX0369,2026-08-21 08:19:58,中国石化,交通,12.15,银行卡,
TX0370,2026-08-21 10:44:08,12306,交通,13.67,银行卡,
TX0371,2026-08-21 18:36:48,盒马鲜生,购物,39.01,支付宝,
TX0372,2026-08-21 18:58:35,麦当劳,餐饮,49.08,银行卡,下午茶
TX0373,2026-08-22 09:33:10,公交集团,交通,39.62,支付宝,通勤地铁
TX0374,2026-08-22 14:44:08,盒马鲜生,购物,92.03,银行卡,
TX0375,2026-08-22 19:14:37,12306,交通,11.36,银行卡,
TX0376,2026-08-23 08:05:34,饿了么,餐饮,57.06,微信支付,同事聚餐
TX0377,2026-08-23 13:23:57,猫眼演出,娱乐,64.85,支付宝,
TX0378,2026-08-23 13:45:16,淘宝,购物,93.61,微信支付,
TX0379,2026-08-23 13:58:11,美团外卖,餐饮,49.46,银行卡,
TX0380,2026-08-24 16:10:25,瑞幸咖啡,餐饮,20.73,微信支付,工作日午餐
TX0381,2026-08-24 18:17:55,中国石化,交通,12.92,支付宝,通勤地铁
TX0382,2026-08-25 12:54:09,肯德基,餐饮,23.48,银行卡,工作日午餐
TX0383,2026-08-25 14:54:43,任天堂eShop,娱乐,62.41,支付宝,游戏打折入手
TX0384,2026-08-26 14:09:39,淘宝,购物,37.40,银行卡,日用品补货
TX0385,2026-08-26 18:28:45,饿了么,餐饮,26.01,微信支付,同事聚餐
TX0386,2026-08-27 09:26:42,瑞幸咖啡,餐饮,24.95,支付宝,加班夜宵
TX0387,2026-08-27 10:42:48,饿了么,餐饮,21.31,支付宝,下午茶
TX0388,2026-08-27 15:27:03,肯德基,餐饮,57.37,银行卡,同事聚餐
TX0389,2026-08-27 17:05:56,喜茶,餐饮,56.02,银行卡,
TX0390,2026-08-27 19:29:36,拼多多,购物,114.98,支付宝,囤纸巾洗衣液
TX0391,2026-08-28 07:40:55,滴滴出行,交通,14.96,银行卡,
TX0392,2026-08-28 10:28:21,喜茶,餐饮,18.56,支付宝,加班夜宵
TX0393,2026-08-28 14:06:26,美团外卖,餐饮,28.49,微信支付,
TX0394,2026-08-28 16:35:26,猫眼演出,娱乐,75.73,微信支付,
TX0395,2026-08-28 19:21:53,美团外卖,餐饮,17.32,支付宝,
TX0396,2026-08-28 21:29:14,肯德基,餐饮,53.59,微信支付,同事聚餐
TX0397,2026-08-29 13:46:58,地铁通勤,交通,28.43,支付宝,
TX0398,2026-08-29 19:39:07,猫眼演出,娱乐,111.44,银行卡,
TX0399,2026-08-29 21:50:58,肯德基,餐饮,28.64,微信支付,下午茶
TX0400,2026-08-30 13:07:19,公交集团,交通,21.31,支付宝,
TX0401,2026-08-30 16:36:55,美团外卖,餐饮,48.36,微信支付,加班夜宵
TX0402,2026-08-30 16:43:53,美团外卖,餐饮,37.47,银行卡,
TX0403,2026-08-30 16:58:37,12306,交通,18.92,微信支付,顺路加油
TX0404,2026-08-30 19:19:30,肯德基,餐饮,56.14,支付宝,加班夜宵
TX0405,2026-08-31 08:16:52,淘宝,购物,75.36,银行卡,囤纸巾洗衣液
TX0406,2026-08-31 20:34:22,美团外卖,餐饮,21.30,银行卡,同事聚餐
TX0407,2026-08-31 21:01:31,喜茶,餐饮,43.88,支付宝,同事聚餐
TX0408,2026-08-31 22:10:34,喜茶,餐饮,58.08,银行卡,工作日午餐
